Band,Min,Max,Mean,StdDev
Band7,52,32767,3980.82046274859,8034.641728636775
Band6,94,32767,5010.887267590489,7760.917814348298
Band1,143,32767,3199.006266569754,8229.002554601642
Band2,139,32767,5532.019246904366,7614.140600922914
Band5,108,32767,5605.303429295222,7557.970330590448
Band4,242,32767,3146.8995884349906,8237.377445693422
Band3,102,32767,2797.4357195901152,8333.948625553756
