Band,Min,Max,Mean,StdDev
dayl,41270.79,54897.27,49906.52,3626.1382
prcp,0.0,153.91,3.045569,7.535854
srad,37.62,637.45,375.36942,101.240135
swe,0.0,146.96,0.68753105,5.893026
tmax,-2.49,39.97,24.81678,6.789855
tmin,-11.99,26.64,12.213766,6.600171
vp,105.38,3488.93,1498.092,584.9671
